date, pm10
2020/5/19, 31
2020/5/20, 25
2020/5/21, 42
2020/5/22, 30
2020/5/23, 39
2020/5/24, 
2020/5/25, 
2020/5/26, 32
2020/5/27, 30
2020/5/28, 46
2020/5/29, 41
2020/5/30, 33
2020/5/31, 44
2020/6/1, 32
2020/6/2, 36
2020/6/3, 46
2020/6/4, 59
2020/6/5, 60
2020/6/6, 
2020/6/7, 52
2020/6/8, 49
2020/6/9, 63
2020/6/10, 54
2020/6/11, 43
2020/6/12, 52
2020/6/13, 55
2020/6/14, 63
2020/6/15, 56
2020/6/16, 57
2020/6/17, 55
2020/6/18, 51
2020/6/19, 58
2020/6/20, 56
2020/6/21, 60
2020/6/22, 48
2020/6/23, 49
2020/6/24, 68
2020/6/25, 68
2020/6/26, 64
2020/6/27, 65
2020/6/28, 68
2020/6/29, 73
2020/6/30, 72
2020/1/1, 21
2020/1/2, 30
2020/1/3, 27
2020/1/4, 26
2020/1/5, 35
2020/1/6, 29
2020/1/7, 40
2020/1/8, 27
2020/1/9, 15
2020/1/10, 30
2020/1/11, 20
2020/1/12, 
2020/1/13, 
2020/1/14, 
2020/1/15, 37
2020/1/16, 48
2020/1/17, 26
2020/1/18, 43
2020/1/19, 44
2020/1/20, 17
2020/1/21, 30
2020/1/22, 16
2020/1/23, 33
2020/1/24, 17
2020/1/25, 39
2020/1/26, 21
2020/1/27, 44
2020/1/28, 34
2020/1/29, 16
2020/1/30, 30
2020/1/31, 23
2020/2/1, 27
2020/2/2, 24
2020/2/3, 16
2020/2/4, 37
2020/2/5, 43
2020/2/6, 31
2020/2/7, 19
2020/2/8, 22
2020/2/9, 28
2020/2/10, 48
2020/2/11, 46
2020/2/12, 31
2020/2/13, 37
2020/2/14, 55
2020/2/15, 34
2020/2/16, 26
2020/2/17, 24
2020/2/18, 24
2020/2/19, 19
2020/2/20, 23
2020/2/21, 21
2020/2/22, 16
2020/2/23, 17
2020/2/24, 17
2020/2/25, 32
2020/2/26, 
2020/2/27, 
2020/2/28, 
2020/2/29, 
2020/3/1, 23
2020/3/2, 33
2020/3/3, 37
2020/3/4, 23
2020/3/5, 33
2020/3/6, 17
2020/3/7, 
2020/3/8, 19
2020/3/9, 24
2020/3/10, 24
2020/3/11, 31
2020/3/12, 22
2020/3/13, 53
2020/3/14, 39
2020/3/15, 31
2020/3/16, 33
2020/3/17, 31
2020/3/18, 44
2020/3/19, 40
2020/3/20, 34
2020/3/21, 15
2020/3/22, 43
2020/3/23, 40
2020/3/24, 19
2020/3/25, 29
2020/3/26, 31
2020/3/27, 44
2020/3/28, 40
2020/3/29, 42
2020/3/30, 40
2020/3/31, 18
2019/10/1, 73
2019/10/2, 
2019/10/3, 62
2019/10/4, 53
2019/10/5, 51
2019/10/6, 56
2019/10/7, 78
2019/10/8, 
2019/10/9, 
2019/10/10, 
2019/10/11, 
2019/10/12, 
2019/10/13, 
2019/10/14, 
2019/10/15, 
2019/10/16, 
2019/10/17, 
2019/10/18, 
2019/10/19, 
2019/10/20, 
2019/10/21, 64
2019/10/22, 59
2019/10/23, 64
2019/10/24, 60
2019/10/25, 70
2019/10/26, 64
2019/10/27, 51
2019/10/28, 58
2019/10/29, 62
2019/10/30, 53
2019/10/31, 45
2019/11/1, 42
2019/11/2, 39
2019/11/3, 39
2019/11/4, 53
2019/11/5, 55
2019/11/6, 60
2019/11/7, 70
2019/11/8, 53
2019/11/9, 67
2019/11/10, 55
2019/11/11, 64
2019/11/12, 66
2019/11/13, 59
2019/11/14, 60
2019/11/15, 53
2019/11/16, 55
2019/11/17, 58
2019/11/18, 43
2019/11/19, 50
2019/11/20, 54
2019/11/21, 54
2019/11/22, 65
2019/11/23, 60
2019/11/24, 68
2019/11/25, 54
2019/11/26, 52
2019/11/27, 51
2019/11/28, 48
2019/11/29, 34
2019/11/30, 48
2019/12/1, 46
2019/12/2, 54
2019/12/3, 
2019/12/4, 
2019/12/5, 
2019/12/6, 
2019/12/7, 
2019/12/8, 
2019/12/9, 
2019/12/10, 
2019/12/11, 
2019/12/12, 
2019/12/13, 
2019/12/14, 
2019/12/15, 
2019/12/16, 
2019/12/17, 
2019/12/18, 27
2019/12/19, 
2019/12/20, 51
2019/12/21, 46
2019/12/22, 47
2019/12/23, 60
2019/12/24, 23
2019/12/25, 40
2019/12/26, 40
2019/12/27, 30
2019/12/28, 35
2019/12/29, 
2019/7/1, 73
2019/7/2, 68
2019/7/3, 61
2019/7/4, 65
2019/7/5, 56
2019/7/6, 57
2019/7/7, 63
2019/7/8, 67
2019/7/9, 59
2019/7/10, 66
2019/7/11, 64
2019/7/12, 64
2019/7/13, 66
2019/7/14, 62
